algorithm,wall_time_s,cpu_time_s,memory_peak_bytes,iterations,per_iter_ms
RSA-1024-keygen,45.250527541997144,45.131246047999994,116965376,1000,45.250527541997144
RSA-1024-sign_verify,46.68086016700545,46.548157952000004,116965376,1000,46.68086016700545
ECC-P256-keygen,0.01636724999116268,0.010471423999999452,116965376,1000,0.01636724999116268
ECC-P256-sign_verify,0.6012239160045283,0.593675263999998,116965376,1000,0.6012239160045283
DSA-1024-keygen,193.5678139579977,193.103146496,116965376,1000,193.5678139579977
DSA-1024-sign_verify,191.8849206659943,191.56343500800006,116965376,1000,191.8849206659943
DH-2048-exchange,6.8785084589908365,6.860402688000015,116965376,1000,6.8785084589908365
