algorithm,wall_time_s,cpu_time_s,memory_peak_bytes,iterations,per_iter_ms
MD5-hash,0.00042266599484719336,0.0004373760000000171,104808448,1000,0.00042266599484719336
SHA-1-hash,0.00041974999476224184,0.0004304239999999987,104808448,1000,0.00041974999476224184
SHA-256-hash,0.00043062499025836587,0.0004468320000000081,104808448,1000,0.00043062499025836587
SHA-512-hash,0.0004920000064885244,0.0005065480000000164,104808448,1000,0.0004920000064885244
