algorithm,wall_time_s,cpu_time_s,memory_peak_kb,iterations,per_iter_ms
AES-256-CBC-encrypt_decrypt,0.01043258399295155,0.010441215999999982,109527040,1000,0.01043258399295155
ChaCha20-encrypt_decrypt,0.0061196250026114285,0.006105128000000008,109527040,1000,0.0061196250026114285
RC4-encrypt_decrypt,0.006085875007556751,0.006095627999999999,109527040,1000,0.006085875007556751
DES-ECB-encrypt_decrypt,0.02495362499030307,0.024131456000000003,109625344,1000,0.02495362499030307
